text,value,status,from,mode
27 mins,1595,OK,WC1V 6HG,transit
28 mins,1661,OK,W1H 7LX,transit
41 mins,2473,OK,N7 9DP,transit
26 mins,1582,OK,SE11 4DA,transit
5 mins,322,OK,E14 5AB,transit
2 hours 47 mins,10018,OK,BH7 6RA,transit
1 hour 21 mins,4868,OK,N18 3HT,transit
28 mins,1661,OK,W1H 7LX,transit
1 hour 8 mins,4062,OK,SW16 4NJ,transit
1 day 0 hours,87827,OK,BT51 3SQ,transit
31 mins,1839,OK,EC4Y 7DB,transit
36 mins,2151,OK,WC1X 8HB,transit
23 mins,1356,OK,W1J 5EB,transit
27 mins,1619,OK,EC4Y 9AY,transit
24 mins,1455,OK,SW1P 3AZ,transit
54 mins,3252,OK,SE9 1UF,transit
1 hour 7 mins,4021,OK,CR0 7RN,transit
1 hour 5 mins,3921,OK,SW14 8BY,transit
26 mins,1579,OK,EC4Y 0DZ,transit
33 mins,1999,OK,W11 3JE,transit
28 mins,1699,OK,WC1R 4BU,transit
1 hour 0 mins,3585,OK,N12 9BT,transit
